# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
JP1X11,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X12,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X13,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X21,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X22,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X23,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X31,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X32,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X33,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X41,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X42,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X43,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X51,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X52,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X53,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X61,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X62,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X63,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X71,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X72,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
JP1X73,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
PD1X1,PTH,BOARD,BOARD-SEEED10X10-NOHOLES,board-board-seeed10x10-noholes,0.00,0.00,0.00,0.00
PD1X11,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X12,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X13,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X21,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X22,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X23,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X31,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X32,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X33,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X41,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X42,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X43,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X51,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X52,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X53,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X61,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X62,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X63,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X71,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X72,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
PD1X73,PTH,RPR220,RPR220,rpr220-rpr220,0.00,0.00,0.00,0.00
