# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
ARDUINO1,PTH,DAVEK,ARDUINO_PRO_MINI_DAVEK,davek-arduino_pro_mini_davek,0.00,0.00,180.00,-180.00
CON1,PTH,0.100,1X06_LOCK,0.100-1x06_lock,0.00,0.00,0.00,0.00
CON2,PTH,RJ12/6,RJ25-INVERTED,rj12/6-rj25-inverted,0.00,0.00,90.00,-90.00
CON3,PTH,2mm,1X04_LOCK,2mm-1x04_lock,0.00,0.00,90.00,-90.00
CON4,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
CON5,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
CON6,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,90.00,-90.00
DET1,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
DET2,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
DET3,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
DET4,PTH,2mm,4P-2.0,2mm-4p-2.0,0.00,0.00,270.00,90.00
LED1,SMD,Y,0603-LED,y-0603-led,5.71,46.99,180.00,-180.00
LED2,SMD,Y,0603-LED,y-0603-led,5.71,49.53,180.00,-180.00
LED3,SMD,Y,0603-LED,y-0603-led,5.71,52.07,180.00,-180.00
LED4,SMD,Y,0603-LED,y-0603-led,5.71,54.61,180.00,-180.00
LED5,SMD,Y,0603-LED,y-0603-led,5.71,64.77,180.00,-180.00
Q1,SMD,2N7002,SOT23,2n7002-sot23,22.86,76.20,0.00,0.00
Q2,SMD,2N7002,SOT23,2n7002-sot23,27.94,76.20,0.00,0.00
Q3,SMD,2N7002,SOT23,2n7002-sot23,33.02,76.20,0.00,0.00
Q4,SMD,2N7002,SOT23,2n7002-sot23,38.10,76.20,0.00,0.00
R1,SMD,2K0,0603-RES,2k0-0603-res,15.24,46.99,180.00,-180.00
R2,SMD,2K0,0603-RES,2k0-0603-res,15.24,49.53,180.00,-180.00
R3,SMD,2K0,0603-RES,2k0-0603-res,15.24,52.07,180.00,-180.00
R4,SMD,2K0,0603-RES,2k0-0603-res,15.24,54.61,180.00,-180.00
R5,SMD,2K0,0603-RES,2k0-0603-res,15.24,57.15,0.00,0.00
R6,SMD,20k,0603-RES,20k-0603-res,21.59,66.04,270.00,90.00
R7,SMD,10R,0603-RES,10r-0603-res,21.59,71.12,270.00,90.00
R8,SMD,20k,0603-RES,20k-0603-res,26.67,66.04,270.00,90.00
R9,SMD,10R,0603-RES,10r-0603-res,26.67,71.12,270.00,90.00
R10,SMD,20k,0603-RES,20k-0603-res,31.75,66.04,270.00,90.00
R11,SMD,10R,0603-RES,10r-0603-res,31.75,71.12,270.00,90.00
R12,SMD,20k,0603-RES,20k-0603-res,36.83,66.04,270.00,90.00
R13,SMD,10R,0603-RES,10r-0603-res,36.83,71.12,270.00,90.00
R14,SMD,10k,0603-RES,10k-0603-res,45.09,17.14,270.00,90.00
R15,SMD,10k,0603-RES,10k-0603-res,46.36,29.85,90.00,-90.00
R16,SMD,10k,0603-RES,10k-0603-res,45.09,46.99,270.00,90.00
R17,SMD,10k,0603-RES,10k-0603-res,46.36,59.69,90.00,-90.00
R18,SMD,10K,0603-RES,10k-0603-res,53.98,13.97,270.00,90.00
R19,SMD,5k6,0603-RES,5k6-0603-res,53.98,19.05,90.00,-90.00
R20,SMD,10K,0603-RES,10k-0603-res,53.98,29.21,270.00,90.00
R21,SMD,5k6,0603-RES,5k6-0603-res,53.98,34.29,90.00,-90.00
R22,SMD,10K,0603-RES,10k-0603-res,53.98,44.45,270.00,90.00
R23,SMD,5k6,0603-RES,5k6-0603-res,53.98,49.53,90.00,-90.00
R24,SMD,10K,0603-RES,10k-0603-res,53.98,59.69,270.00,90.00
R25,SMD,5k6,0603-RES,5k6-0603-res,53.98,64.77,90.00,-90.00
R26,SMD,10K,0603-RES,10k-0603-res,44.45,77.47,0.00,0.00
R27,SMD,10K,0603-RES,10k-0603-res,44.45,81.28,180.00,-180.00
R28,SMD,10K,0603-RES,10k-0603-res,16.51,81.28,180.00,-180.00
R29,SMD,10K,0603-RES,10k-0603-res,16.51,77.47,180.00,-180.00
U1,SMD,LM358B,SO08,lm358b-so08,46.99,23.50,0.00,0.00
U2,SMD,LM393M,SO08,lm393m-so08,46.99,53.34,0.00,0.00
