# name, smd?, value, package, component, x, y, angle
BOARD1, PTH, BOARD80X100, BOARD-DINRAIL-3.17INX10CM, board80x100-board-dinrail-3.17inx10cm, 0.00, 0.00, 0.00
C1, SMD, 0.1UF, 0603-CAP, 0.1uf-0603-cap, 40.01, 57.79, 0.00
CON1, PTH, , RJ45-NO-SHIELD, -rj45-no-shield, 0.00, 0.00, 0.00
CON2, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 0.00
CON3, PTH, CONNECTOR-GROVE-4P-2.0-3470130P1, 4P-2.0, connector-grove-4p-2.0-3470130p1-4p-2.0, 0.00, 0.00, 0.00
FID1, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 90.17, 12.70, 0.00
FID2, SMD, FIDUCIAL, FIDUCIAL_1MM, fiducial-fiducial_1mm, 10.16, 87.63, 0.00
IC1, SMD, 74LS139D, SO16, 74ls139d-so16, 39.62, 64.52, 90.00
J1, PTH, , RJ25-PANEL, -rj25-panel, 0.00, 0.00, 0.00
J2, PTH, , SCREWTERMINAL-3.5MM-4_LOCK, -screwterminal-3.5mm-4_lock, 0.00, 0.00, 0.00
J3, PTH, , SCREWTERMINAL-3.5MM-4_LOCK, -screwterminal-3.5mm-4_lock, 0.00, 0.00, 0.00
P1, PTH, 500R, P-3319, 500r-p-3319, 0.00, 0.00, 90.00
P2, PTH, 500R, P-3319, 500r-p-3319, 0.00, 0.00, 90.00
P3, PTH, 500R, P-3319, 500r-p-3319, 0.00, 0.00, 90.00
P4, PTH, 500R, P-3319, 500r-p-3319, 0.00, 0.00, 90.00
P5, PTH, 500R, P-3319, 500r-p-3319, 0.00, 0.00, 90.00
P6, PTH, 500R, P-3319, 500r-p-3319, 0.00, 0.00, 90.00
R1, SMD, 470R, 0805-RES, 470r-0805-res, 52.45, 61.60, 180.00
R2, SMD, 470R, 0805-RES, 470r-0805-res, 52.45, 66.61, 180.00
R3, SMD, 470R, 0805-RES, 470r-0805-res, 52.45, 64.26, 180.00
R4, SMD, 470R, 0805-RES, 470r-0805-res, 27.69, 64.14, 0.00
R5, SMD, 470R, 0805-RES, 470r-0805-res, 27.69, 69.22, 0.00
R6, SMD, 470R, 0805-RES, 470r-0805-res, 27.69, 66.67, 0.00
RN1, PTH, 4k7, SIL5, 4k7-sil5, 0.00, 0.00, 0.00
U$2, PTH, OSHW-LOGOL, OSHW-LOGO-L, oshw-logol-oshw-logo-l, 0.00, 0.00, 0.00
