# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
BOARD1,PTH,BOARD,BOARD-SEEED10X10-NOHOLES,board-board-seeed10x10-noholes,0.00,0.00,0.00,0.00
GYR+,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
GYR+1,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
GYR+2,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
GYR+3,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
GYR+4,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
GYR+5,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,180.00,-180.00
GYR+6,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
GYR+7,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
GYR+8,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
GYR+9,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
GYR+10,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
GYR+11,PTH,0.100,1X04_LOCK,0.100-1x04_lock,0.00,0.00,0.00,0.00
LED1,SMD,R,0603-LED,r-0603-led,19.05,16.51,0.00,0.00
LED2,SMD,Y,0603-LED,y-0603-led,19.05,19.05,0.00,0.00
LED3,SMD,G,0603-LED,g-0603-led,19.05,21.59,0.00,0.00
LED4,SMD,R,0603-LED,r-0603-led,31.75,16.51,0.00,0.00
LED5,SMD,Y,0603-LED,y-0603-led,31.75,19.05,0.00,0.00
LED6,SMD,G,0603-LED,g-0603-led,31.75,21.59,0.00,0.00
LED7,SMD,R,0603-LED,r-0603-led,44.45,16.51,0.00,0.00
LED8,SMD,Y,0603-LED,y-0603-led,44.45,19.05,0.00,0.00
LED9,SMD,G,0603-LED,g-0603-led,44.45,21.59,0.00,0.00
LED10,SMD,R,0603-LED,r-0603-led,57.15,16.51,0.00,0.00
LED11,SMD,Y,0603-LED,y-0603-led,57.15,19.05,0.00,0.00
LED12,SMD,G,0603-LED,g-0603-led,57.15,21.59,0.00,0.00
LED13,SMD,R,0603-LED,r-0603-led,69.85,16.51,0.00,0.00
LED14,SMD,Y,0603-LED,y-0603-led,69.85,19.05,0.00,0.00
LED15,SMD,G,0603-LED,g-0603-led,69.85,21.59,0.00,0.00
LED16,SMD,R,0603-LED,r-0603-led,82.55,16.51,0.00,0.00
LED17,SMD,Y,0603-LED,y-0603-led,82.55,19.05,0.00,0.00
LED18,SMD,G,0603-LED,g-0603-led,82.55,21.59,0.00,0.00
LED19,SMD,R,0603-LED,r-0603-led,31.75,83.44,180.00,-180.00
LED20,SMD,Y,0603-LED,y-0603-led,31.75,80.90,180.00,-180.00
LED21,SMD,G,0603-LED,g-0603-led,31.75,78.36,180.00,-180.00
LED22,SMD,R,0603-LED,r-0603-led,44.45,83.44,180.00,-180.00
LED23,SMD,Y,0603-LED,y-0603-led,44.45,80.90,180.00,-180.00
LED24,SMD,G,0603-LED,g-0603-led,44.45,78.36,180.00,-180.00
LED25,SMD,R,0603-LED,r-0603-led,57.15,83.44,180.00,-180.00
LED26,SMD,Y,0603-LED,y-0603-led,57.15,80.90,180.00,-180.00
LED27,SMD,G,0603-LED,g-0603-led,57.15,78.36,180.00,-180.00
LED28,SMD,R,0603-LED,r-0603-led,19.05,83.44,180.00,-180.00
LED29,SMD,Y,0603-LED,y-0603-led,19.05,80.90,180.00,-180.00
LED30,SMD,G,0603-LED,g-0603-led,19.05,78.36,180.00,-180.00
LED31,SMD,R,0603-LED,r-0603-led,69.85,83.44,180.00,-180.00
LED32,SMD,Y,0603-LED,y-0603-led,69.85,80.90,180.00,-180.00
LED33,SMD,G,0603-LED,g-0603-led,69.85,78.36,180.00,-180.00
LED34,SMD,R,0603-LED,r-0603-led,82.55,83.44,180.00,-180.00
LED35,SMD,Y,0603-LED,y-0603-led,82.55,80.90,180.00,-180.00
LED36,SMD,G,0603-LED,g-0603-led,82.55,78.36,180.00,-180.00
